Publication Number,Title,Forum,Venue,Day,Month,Year,Online,,,,
34,Design of a Power Aware Methodology in IoT based on Hidden Markov Model,Proceedings of COMSNETS-17,INDIA,,,2017,,,,,
35,Static Vulnerability Analysis for Secure Mobile Platforms,Innovations in Software Engineering Conference (ISEC) 2017,Jaipur, INDIA,,,2017,,,,
36,Knowledge Based Decision Framework For Architecting Complex Systems,32nd ACM Symposium on Applied Computing – ACM SAC 2017,Marrakech, Morocco,,April 03-06,2017,,,,
37,Automatic Generation of Safety Validation Test cases from System Architecture Fault Trees,ACM, India Software Engineering Conference (ISEC),Hyderabad, India,,9th - 11th February,2018,,,
38,Efficient Anomaly Detection Method for Power Saving in massive IoT architectures,ICDCIT, LNCS 10772, Springer,,,,2018,,,
39,A static analyzer for industrial robotic applications,28th IEEE ISSRE,Toulouse, France,,,2017,,,,
40,A framework for modelling and verifying IoT communication protocols,SETTA 2017, Springer LNCS 10606, pages 266-280,China,,,2017,,,
41,Method level power estimation and optimization in next generation smart phones,IEEE ICACCI 2017, 1010-1016.,,,,2017,,,,
42,Model-based safety analysis: Automatic generation of safety validation test cases,in 36th IEEE/AIAA Digital Avionics Systems Conference (DASC),Florida,,September,2017,,,,,
43,Knowledge based decision model for architecting and evolving complex system-of-systems,INCOSE International Symposium, 27(1),Wiley,,July,2017,,,,
44,Knowledge value stream framework for architecting complex products,IEEE Technology and Engineering Management Conference (TEMSCON),,,,2017,,,,,
45,Model-based Safety Validation for Embedded Real-time Systems,Formal Methods for Safety and Security Case Studies for Aerospace Applications, Nanda, Manju, Jeppu, Yogananda (Eds.), Springer,,,May,2017
46,Incorporating Formal Methods and Measures Obtained through Analysis, Simulation Testing for Dependable Self-Adaptive Software in Avionics Systems,10th Annual ACM India Compute Conference,,,,2017,,,,
47,Learning framework for maturing architecture design decisions for evolving complex SoS,in Proc. IEEE 13th System of Systems Engineering Conference,Paris, France,,June,2018,,,,
48,Worst case execution time estimation for control code of automation systems,in Proc. IEEE 4th International Conference on Advances in Computing and Communication Engineering,Paris, France,,June,2018,,,,
49,A generic static analysis framework for domain specific languages,in 2018 IEEE 23rd International Conference on Emerging Technologies and Factory Automation,Italy,,September,2018,,,,,
50,Formal Verification of Datarace in Safety Critical ARINC653 compliant RTOS,in Proc. 7th IEEE ICACCI,,,,2018,,,,,
51,StaBL: Statecharts with Local Variables,ISEC,Jabalpur, INDIA,,February,2020,,,,
52,Automated Testing of Refreshable Braille Display,14th IFIP TC9 Human Choice and Computers Conference,Tokyo,,September,2020,,,,,
53,Discovering Multiple Design Approaches in Programming Assignment Submissions,The 36th ACM/SIGAPP Symposium on Applied Computing (SAC ’21),Virtual Event, Republic of Korea,,March 22–26,2021,,,,
